content_condition,defense_arm,metric,planned_n,valid_n,invalid_n,successes,valid_successes,invalid_successes,itt_rate,itt_lower_bound_rate,itt_upper_bound_rate,itt_ci_lower,itt_ci_upper,valid_only_rate,valid_ci_lower,valid_ci_upper
attack,allow_all,exposure,18,17,1,18,17,1,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8156818649911481,0.9999999999999998
attack,capability_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
attack,capability_provenance_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
attack,full,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
attack,prompt_capability_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
attack,prompt_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
attack,prompt_provenance_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
attack,provenance_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
clean,allow_all,exposure,18,17,1,18,17,1,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8156818649911481,0.9999999999999998
clean,capability_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
clean,capability_provenance_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
clean,full,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
clean,prompt_capability_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
clean,prompt_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
clean,prompt_provenance_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
clean,provenance_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
placebo,allow_all,exposure,18,17,1,18,17,1,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8156818649911481,0.9999999999999998
placebo,capability_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
placebo,capability_provenance_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
placebo,full,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
placebo,prompt_capability_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
placebo,prompt_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
placebo,prompt_provenance_only,exposure,18,18,0,18,18,0,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8241207763533425,1.0
placebo,provenance_only,exposure,18,17,1,18,17,1,1.0,1.0,1.0,0.8241207763533425,1.0,1.0,0.8156818649911481,0.9999999999999998
attack,allow_all,attempted_attack,18,17,1,9,9,0,0.5,0.5,0.5555555555555556,0.2903102150516998,0.7096897849483002,0.5294117647058824,0.30963235060004435,0.7383489355759055
attack,capability_only,attempted_attack,18,18,0,9,9,0,0.5,0.5,0.5,0.2903102150516998,0.7096897849483002,0.5,0.2903102150516998,0.7096897849483002
attack,capability_provenance_only,attempted_attack,18,18,0,9,9,0,0.5,0.5,0.5,0.2903102150516998,0.7096897849483002,0.5,0.2903102150516998,0.7096897849483002
attack,full,attempted_attack,18,18,0,5,5,0,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.12499753379553999,0.5087265656029745,0.2777777777777778,0.12499753379553999,0.5087265656029745
attack,prompt_capability_only,attempted_attack,18,18,0,6,6,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16278774750833697,0.5625053270405489,0.3333333333333333,0.16278774750833697,0.5625053270405489
attack,prompt_only,attempted_attack,18,18,0,6,6,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16278774750833697,0.5625053270405489,0.3333333333333333,0.16278774750833697,0.5625053270405489
attack,prompt_provenance_only,attempted_attack,18,18,0,6,6,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16278774750833697,0.5625053270405489,0.3333333333333333,0.16278774750833697,0.5625053270405489
attack,provenance_only,attempted_attack,18,18,0,9,9,0,0.5,0.5,0.5,0.2903102150516998,0.7096897849483002,0.5,0.2903102150516998,0.7096897849483002
clean,allow_all,attempted_attack,18,17,1,0,0,0,0.0,0.0,0.05555555555555555,0.0,0.17587922364665756,0.0,1.3877787807814457e-17,0.18431813500885175
clean,capability_only,attempted_attack,18,18,0,0,0,0,0.0,0.0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756
clean,capability_provenance_only,attempted_attack,18,18,0,0,0,0,0.0,0.0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756
clean,full,attempted_attack,18,18,0,0,0,0,0.0,0.0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756
clean,prompt_capability_only,attempted_attack,18,18,0,0,0,0,0.0,0.0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756
clean,prompt_only,attempted_attack,18,18,0,0,0,0,0.0,0.0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756
clean,prompt_provenance_only,attempted_attack,18,18,0,0,0,0,0.0,0.0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756
clean,provenance_only,attempted_attack,18,18,0,0,0,0,0.0,0.0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756
