family,condition,defense,planned_n,valid_n,invalid_n,executed_unauthorized_effect_rate,executed_unauthorized_effect_ci_lower,executed_unauthorized_effect_ci_upper,secret_leakage_rate,secret_leakage_ci_lower,secret_leakage_ci_upper,benign_task_success_rate,benign_task_success_ci_lower,benign_task_success_ci_upper,benign_block_rate,benign_block_ci_lower,benign_block_ci_upper
All tasks,attack,allow_all,18,17,1,0.5294117647058824,0.30963235060004435,0.7383489355759055,0.35294117647058826,0.17309720397243744,0.5869963651478131,0.6470588235294118,0.413003634852187,0.8269027960275626,0.0,1.3877787807814457e-17,0.18431813500885175
All tasks,attack,prompt_only,18,18,0,0.3333333333333333,0.16278774750833697,0.5625053270405489,0.16666666666666666,0.05836576805861449,0.39222038103915724,0.5555555555555556,0.33716415642042785,0.7544048187299436,0.0,0.0,0.17587922364665756
All tasks,attack,capability_only,18,18,0,0.16666666666666666,0.05836576805861449,0.39222038103915724,0.16666666666666666,0.05836576805861449,0.39222038103915724,0.6111111111111112,0.38619041602237913,0.7969475342783637,0.5,0.2903102150516998,0.7096897849483002
All tasks,attack,provenance_only,18,18,0,0.3333333333333333,0.16278774750833697,0.5625053270405489,0.0,0.0,0.17587922364665756,0.6666666666666666,0.437494672959451,0.8372122524916629,0.0,0.0,0.17587922364665756
All tasks,attack,prompt_provenance_only,18,18,0,0.3333333333333333,0.16278774750833697,0.5625053270405489,0.0,0.0,0.17587922364665756,0.5555555555555556,0.33716415642042785,0.7544048187299436,0.0,0.0,0.17587922364665756
All tasks,attack,capability_provenance_only,18,18,0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756,0.6111111111111112,0.38619041602237913,0.7969475342783637,0.5,0.2903102150516998,0.7096897849483002
All tasks,attack,prompt_capability_only,18,18,0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756,0.3333333333333333,0.16278774750833697,0.5625053270405489,0.5,0.2903102150516998,0.7096897849483002
All tasks,attack,full,18,18,0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756,0.3888888888888889,0.20305246572163627,0.6138095839776209,0.5,0.2903102150516998,0.7096897849483002
All tasks,clean,allow_all,18,17,1,0.0,1.3877787807814457e-17,0.18431813500885175,0.0,1.3877787807814457e-17,0.18431813500885175,1.0,0.8156818649911481,0.9999999999999998,0.0,1.3877787807814457e-17,0.18431813500885175
All tasks,clean,prompt_only,18,18,0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756,1.0,0.8241207763533425,1.0,0.0,0.0,0.17587922364665756
All tasks,clean,capability_only,18,18,0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756,0.9444444444444444,0.7424269921812742,0.9901248090216969,0.6666666666666666,0.437494672959451,0.8372122524916629
All tasks,clean,provenance_only,18,18,0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756,1.0,0.8241207763533425,1.0,0.0,0.0,0.17587922364665756
All tasks,clean,prompt_provenance_only,18,18,0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756,1.0,0.8241207763533425,1.0,0.0,0.0,0.17587922364665756
All tasks,clean,capability_provenance_only,18,18,0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756,0.9444444444444444,0.7424269921812742,0.9901248090216969,0.6666666666666666,0.437494672959451,0.8372122524916629
All tasks,clean,prompt_capability_only,18,18,0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756,0.8888888888888888,0.6720023486982121,0.9689804773543875,0.5,0.2903102150516998,0.7096897849483002
All tasks,clean,full,18,18,0,0.0,0.0,0.17587922364665756,0.0,0.0,0.17587922364665756,0.8333333333333334,0.6077796189608428,0.9416342319413854,0.5,0.2903102150516998,0.7096897849483002
T1--T4 capability,attack,allow_all,12,11,1,0.5454545454545454,0.280091537409322,0.7872872837754024,0.2727272727272727,0.09746059290024894,0.5656453011761291,0.5454545454545454,0.280091537409322,0.7872872837754024,0.0,0.0,0.25883296696803165
